ubigeo,departamento,dom_Geo,provincia,distrito,total_electoral,total_ausentismo,porc_Ausentismo,ord_Ausentismo,dic_Ausentismo,porc_hogares_sin_medios,IDH,alfabetismo,partidoGanador,porc_2_NBI,GINI
030701,Apurímac,Sur,Grau,Chuquibambilla,3071.0,646.0,21.035494,2.0,1.0,83.45,0.563966,83.41534,GANA PERU,15.99,0.3
030702,Apurímac,Sur,Grau,Curpahuasi,1314.0,246.0,18.72146,2.0,0.0,96.63,0.5105973,66.33733,GANA PERU,18.33,0.26
030703,Apurímac,Sur,Grau,Gamarra,2288.0,524.0,22.902098,2.0,1.0,100.0,0.5306188,74.905106,GANA PERU,12.4,0.26
030704,Apurímac,Sur,Grau,Huayllati,978.0,178.0,18.200409,2.0,0.0,99.22,0.5109247,65.29814,GANA PERU,25.2,0.24
030705,Apurímac,Sur,Grau,Mamara,545.0,108.0,19.816513,2.0,0.0,100.0,0.5240578,67.59869,GANA PERU,31.53,0.26
030706,Apurímac,Sur,Grau,Micaela Bastidas,551.0,140.0,25.408348,3.0,1.0,98.86,0.53603834,78.82775,GANA PERU,30.57,0.27
030707,Apurímac,Sur,Grau,Pataypampa,621.0,123.0,19.806763,2.0,0.0,98.89,0.5333545,77.616745,GANA PERU,13.28,0.24
030708,Apurímac,Sur,Grau,Progreso,1715.0,330.0,19.241983,2.0,0.0,97.85,0.5092239,66.29798,GANA PERU,22.09,0.24
030709,Apurímac,Sur,Grau,San Antonio,261.0,61.0,23.371647,2.0,1.0,95.65,0.55887604,84.210526,GANA PERU,27.83,0.26
030710,Apurímac,Sur,Grau,Santa Rosa,520.0,128.0,24.615385,3.0,1.0,95.39,0.53019714,74.49664,GANA PERU,11.52,0.27
030711,Apurímac,Sur,Grau,Turpay,444.0,103.0,23.198198,2.0,1.0,97.83,0.54358226,80.0,GANA PERU,17.83,0.25
030712,Apurímac,Sur,Grau,Vilcabamba,581.0,97.0,16.695353,1.0,0.0,95.3,0.57754964,88.31943,GANA PERU,11.63,0.28
030713,Apurímac,Sur,Grau,Virundo,528.0,89.0,16.85606,1.0,0.0,99.31,0.54008543,77.88945,GANA PERU,19.44,0.25
030714,Apurímac,Sur,Grau,Curasco,636.0,120.0,18.867924,2.0,0.0,99.52,0.5101238,67.410164,GANA PERU,15.59,0.27
040101,Arequipa,Sur,Arequipa,Arequipa,74343.0,10119.0,13.611235,1.0,0.0,10.81,0.7060398,99.276764,ALIANZA POR EL GRAN CAMBIO,0.36,0.33
040102,Arequipa,Sur,Arequipa,Alto Selva Alegre,57060.0,6062.0,10.623904,0.0,0.0,30.99,0.65628225,97.33271,GANA PERU,2.17,0.32
040103,Arequipa,Sur,Arequipa,Cayma,60081.0,6907.0,11.496147,0.0,0.0,31.1,0.6562426,96.46766,GANA PERU,1.72,0.36
040104,Arequipa,Sur,Arequipa,Cerro Colorado,81212.0,8447.0,10.401173,0.0,0.0,36.83,0.6496052,96.63078,GANA PERU,2.86,0.34
040105,Arequipa,Sur,Arequipa,Characato,4659.0,476.0,10.2167845,0.0,0.0,51.89,0.6440006,95.579666,GANA PERU,10.91,0.33
040106,Arequipa,Sur,Arequipa,Chiguata,2182.0,244.0,11.182402,0.0,0.0,74.85,0.6015762,89.95025,GANA PERU,16.93,0.28
040107,Arequipa,Sur,Arequipa,Jacobo Hunter,35456.0,3553.0,10.020871,0.0,0.0,35.43,0.6447871,95.82325,GANA PERU,2.3,0.32
040108,Arequipa,Sur,Arequipa,La Joya,14182.0,1236.0,8.715273,0.0,0.0,52.18,0.6172872,92.85802,GANA PERU,19.27,0.32
040109,Arequipa,Sur,Arequipa,Mariano Melgar,43768.0,4871.0,11.129135,0.0,0.0,31.46,0.6568676,97.14572,GANA PERU,2.8,0.33
040110,Arequipa,Sur,Arequipa,Miraflores,43772.0,5188.0,11.852325,0.0,0.0,29.83,0.66107583,97.38316,GANA PERU,2.18,0.34
040111,Arequipa,Sur,Arequipa,Mollebaya,991.0,85.0,8.577195,0.0,0.0,60.45,0.62330836,95.26262,GANA PERU,34.01,0.29
040112,Arequipa,Sur,Arequipa,Paucarpata,98089.0,9628.0,9.815576,0.0,0.0,36.52,0.6480878,96.13718,GANA PERU,2.35,0.33
040113,Arequipa,Sur,Arequipa,Pocsi,572.0,63.0,11.013986,0.0,0.0,91.19,0.6067353,93.68421,GANA PERU,15.42,0.27
